Week,Feature,Feature_Importance,Permutation_Importance,R2,RMSE
3,ALL,,,0.16093122783571284,1.533175051735903
3,stdev,0.14359203213113073,0.013057261060146036,,
3,win_pct,0.056233153536920516,0.0070581858612638665,,
3,avg,0.1695781657358434,0.05544832060597381,,
3,pa,0.08191983194409443,0.006451568663509697,,
3,adj_avg_delta,0.11562696223455485,0.0389514103486897,,
3,avg * pa,0.16657246401636402,0.04484142123221653,,
3,avg * win_pct,0.15677463876713826,0.05719674718006247,,
3,adj_avg_delta * pa,0.10970275163395382,0.03518415466388304,,
4,ALL,,,0.21310684827127307,1.4603854529647713
4,stdev,0.11523598846473086,0.042211134393315565,,
4,streak,0.03152103257157704,-0.006498968913077113,,
4,adj_avg,0.18578645206514077,0.11810782656470266,,
4,ewma_avg_delta,0.12226212054550782,0.022046008730209978,,
4,adj_avg_delta,0.058437931042178884,0.010557606366125242,,
4,pf_pa_delta,0.10818401229716937,0.03253483584023715,,
4,pf_pa_delta * adj_avg,0.1422505340509683,0.15722580529624972,,
4,pf_pa_delta * stdev,0.10228773325136958,0.05301564800530993,,
4,pf_pa_delta * streak,0.07707246741823656,0.02263824321344445,,
4,adj_avg * adj_avg_delta,0.05696172829312079,0.005934477194524681,,
5,ALL,,,0.25469874749619015,1.3098456100430977
5,win_pct,0.035915567306478643,0.012685430568242988,,
5,pa,0.10789152105749097,0.002114901098174449,,
5,high,0.1575353313417858,0.05005519733129016,,
5,range,0.1526654894827646,0.0115500153453718,,
5,range * pf,0.2980299579581661,0.2403817021795454,,
5,pf * win_pct,0.14568941185946185,0.04360830787525153,,
5,luck_index * win_pct,0.10227272099385204,0.024976118591670825,,
6,ALL,,,0.311783683176312,1.154457954623309
6,ewma,0.13099791215133036,0.08564463130783409,,
6,win_pct,0.018450785754122057,0.008007590991142169,,
6,pf,0.07279413887916977,0.010699536450296055,,
6,pa,0.062414156952129325,0.012062401169981357,,
6,high,0.0742224995965242,0.003719783500450262,,
6,low,0.07797403035665489,0.02092581595781416,,
6,luck_index,0.0427031411481237,0.014404283324460292,,
6,range * pf,0.3057838273743988,0.43200155449945166,,
6,range * low,0.1431326668610476,0.05336440706687528,,
6,ewma * luck_index,0.07152684092649927,0.01708368059822626,,
7,ALL,,,0.24242017045958916,1.1034542579600648
7,ewma,0.06932640639502571,0.01986056249987539,,
7,stdev,0.11793505595629974,0.029346766103732234,,
7,win_pct,0.029610333844370326,0.009154241733005278,,
7,streak,0.031500979064529984,0.011714369335965768,,
7,adj_avg,0.04185342853361767,0.005787905634969449,,
7,pa,0.05660849216794407,0.01657290953858863,,
7,low,0.08948176540598185,0.11053614914446401,,
7,luck_index,0.07026909171017397,0.0004348565002718569,,
7,range,0.17501589550395932,0.10955102518992144,,
7,range * luck_index,0.08591842641933982,0.03767360998024349,,
7,low * adj_avg,0.05060757750213605,0.021271869036451323,,
7,range * ewma,0.11737481019751958,0.041887831518355824,,
7,range * low,0.06449773729910196,0.021493354020590483,,
8,ALL,,,0.30764350853864125,0.9774381028752182
8,ewma,0.050035718180594844,0.010843826628007624,,
8,stdev,0.05639091525865754,0.017784177168838875,,
8,adj_avg,0.08220073974133799,0.007686175945997622,,
8,pf,0.07132413488924036,0.009581637195078919,,
8,ewma_avg_delta,0.0942391792948186,0.086516491089745,,
8,range,0.06311086710109923,0.0025525183247905366,,
8,range * stdev,0.11589833303647265,0.062133633748512655,,
8,range * pf,0.28177997184989007,0.3155530232662416,,
8,stdev * luck_index,0.09056711769774868,0.0339426735198851,,
8,pf * ewma,0.09445302295014006,0.08440896391704376,,
9,ALL,,,0.2245583644439884,0.9343434579848766
9,avg,0.12363857703466484,0.05701578027575145,,
9,pf,0.161594831751528,0.08874458700177865,,
9,low,0.1202673519710111,0.06603334620593049,,
9,ewma_avg_delta,0.14739849084882295,0.05458819015435618,,
9,range,0.27219793350880045,0.2813610516761818,,
9,stdev * avg,0.1749028148851727,0.11453134559957588,,
