Player,GP,Avg,AdjustedAvg,EWMA_Avg,StDev,WinStreak,LuckIndex,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17
Abhi,16,118.84,115.38,110.33,18.48,0,0.57,114.54,120.92,147.4,129.26,114.86,106.9,129.06,162.26,113.18,111.02,90.1,120.34,120.54,91.18,127.42,102.54,
Ryan,16,131.87,128.34,128.36,27.49,0,-0.03,116.76,137.38,186.18,150.14,118.84,138.62,174.08,115.78,116.18,83.92,106.06,160.38,102.8,153.54,,117.78,131.54
James,17,130.95,129.51,125.83,24.06,0,0.45,84.64,135.56,119.02,160.8,188.46,125.36,136.4,152.66,114.62,128.08,130.9,151.06,126.96,97.62,110.56,131.28,132.16
Brayden,17,135.81,140.47,147.15,26.65,6,0.69,150.84,130.94,97.88,168.34,124.76,120.42,101.66,127.4,91.6,127.64,121.24,165.96,187.76,139.82,163.64,155.4,133.52
Justice,16,123.56,127.71,130.09,28.35,1,-1.81,95.84,98.64,99.46,126.38,180.78,90.54,109.54,173.58,91.18,120.4,141.64,147.56,108.24,116.1,151.08,126.04,
Saxon,16,108.14,105.08,96.72,21.45,0,0.64,149.54,106.4,126.28,81.62,88.94,104.44,116.06,94.3,128.44,89.0,133.48,128.52,95.4,99.84,,116.9,71.1
Weston,17,113.23,118.4,124.18,24.58,0,-0.18,99.26,111.1,112.9,104.28,92.12,107.28,87.96,110.96,83.28,163.44,106.12,121.28,82.62,136.82,154.72,150.08,100.74
Davis,16,121.95,127.03,121.32,36.72,1,1.4,85.88,136.88,164.26,90.24,52.18,72.2,112.5,133.22,136.86,177.96,138.06,130.24,175.96,145.74,90.26,108.82,
Ben,16,114.13,106.99,93.3,23.06,0,-2.36,96.8,123.84,163.5,147.52,120.48,96.4,118.48,133.72,136.94,112.84,107.34,105.7,106.56,77.92,89.86,88.2,
Houston,16,114.42,111.89,109.42,22.73,1,1.99,174.84,97.36,123.86,72.78,120.62,128.18,92.64,130.46,109.34,95.42,128.6,105.12,127.3,113.7,,108.02,102.42
Korben,16,141.19,146.13,150.26,28.6,1,-1.55,68.0,151.8,156.82,146.08,131.22,111.24,136.0,172.92,150.64,175.82,129.0,134.48,172.68,105.74,,148.7,167.88
Rhett,17,120.04,119.7,118.36,20.44,3,0.18,104.82,121.72,135.62,124.0,148.24,138.52,69.26,98.88,125.94,152.18,96.54,113.86,120.46,132.22,131.38,115.5,111.5
